Track Name,Artist Name,Artist Popularity,Album Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Track Duration (s)
Tera Hone Laga Hoon,Atif Aslam,76,2009-06-11,76,0.684,0.771,8,-5.353,1,0.0307,0.548,0.0,0.112,0.539,119.982,4,300.0
Tum Se Hi,Pritam,87,2007-09-21,80,0.609,0.538,6,-7.842,1,0.0273,0.328,0.0,0.125,0.608,130.015,4,321.0
Tum Ho,Mohit Chauhan,74,2011-01-10,68,0.356,0.47,5,-8.929,1,0.0278,0.518,1e-05,0.0807,0.167,93.895,4,316.0
Hookah Bar,Himesh Reshammiya,66,2012-10-30,72,0.73,0.656,11,-5.07,1,0.0294,0.00797,0.00271,0.108,0.743,131.04,4,254.0
"Ranjha (From ""Shershaah"")",Jasleen Royal,66,2021-05-08,80,0.603,0.573,1,-5.843,1,0.0502,0.478,0.0,0.0971,0.236,82.941,4,229.0
Majhe Majhe Tabo Dekha Pai,Arnob,43,2017-08-01,41,0.581,0.528,3,-8.808,1,0.0434,0.483,0.0,0.0867,0.546,139.932,3,364.0
Hey Ya !,Clinton Cerejo,59,2010-01-18,62,0.799,0.588,7,-9.136,0,0.0302,0.184,2.68e-05,0.0788,0.789,115.087,4,255.0
Bahara,Vishal-Shekhar,76,2010-05-25,67,0.595,0.739,5,-6.733,1,0.0359,0.0716,6.98e-06,0.134,0.722,87.834,4,326.0
Ransom,Lil Tecca,76,2019-08-30,83,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,4,131.0
ROCKSTAR (feat. Roddy Ricch),DaBaby,81,2020-04-17,81,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4,182.0
rockstar (feat. 21 Savage),Post Malone,88,2018-04-27,87,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,4,218.0
Gangsta's Paradise,Coolio,69,1995-07-11,89,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,241.0
Bohemian Rhapsody - Remastered 2011,Queen,84,1975-11-21,84,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,4,354.0
High Hopes,Kodaline,68,2013-06-17,70,0.488,0.487,4,-6.371,1,0.0305,0.577,0.0,0.193,0.219,77.278,4,230.0
Story of My Life,One Direction,85,2013-11-25,86,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,4,245.0
The Perfect Girl - (Instrumental) [Slowed],Mareux,65,2022-08-04,56,0.548,0.897,8,-6.019,0,0.0615,0.00387,0.537,0.121,0.147,115.393,4,217.0
XO Tour Llif3,Lil Uzi Vert,86,2017-08-25,84,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,4,183.0
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,78,2021-07-23,84,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,4,212.0
Kabira,Pritam,87,2013-03-30,80,0.59,0.555,2,-6.861,1,0.0271,0.481,0.0,0.192,0.191,84.027,4,223.0
This Modern Love,Bloc Party,60,2005-02-02,56,0.45,0.941,0,-5.338,1,0.0369,0.00223,0.00732,0.129,0.255,159.991,4,266.0
Mr. Blue Sky,Electric Light Orchestra,71,1977-01-01,84,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,4,303.0
Sympathy For The Devil,Mick Jagger,55,1989-08-15,67,0.728,0.681,9,-10.943,1,0.221,0.61,0.0,0.0559,0.578,115.944,4,377.0
What's My Age Again?,blink-182,77,1999-01-06,83,0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4,148.0
Blue,Mai Yamane,36,1999-01-05,39,0.419,0.599,8,-8.005,1,0.0376,0.0673,0.356,0.0682,0.23,144.982,3,305.0
Excuses,AP Dhillon,76,2020-07-24,82,0.837,0.717,5,-7.749,0,0.0822,0.0842,0.0,0.149,0.494,94.984,4,176.0
Tu Aake Dekhle,King,73,2020-09-21,83,0.77,0.84,11,-4.022,1,0.107,0.515,0.00452,0.145,0.192,96.012,4,270.0
Pee Loon,Mohit Chauhan,74,2010-06-29,71,0.656,0.721,8,-5.064,1,0.0364,0.277,0.000139,0.188,0.883,83.95,4,286.0
Hurt,Nine Inch Nails,65,1994-08-03,58,0.566,0.124,11,-18.166,0,0.0431,0.709,0.0104,0.132,0.11,79.924,4,374.0
Starry Eyes,Cigarettes After Sex,80,2012-07-21,65,0.419,0.362,2,-15.32,1,0.0337,0.453,0.335,0.0687,0.114,100.264,4,206.0
Chaand Baaliyan,Aditya A,63,2020-03-28,82,0.729,0.396,0,-8.98,1,0.0359,0.796,0.0,0.104,0.886,97.281,4,103.0
Udd Gaye,Ritviz,61,2019-01-07,69,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961,4,180.0
Your Love Is My Drug (8 Bit Slowed),just valery,46,2021-01-07,1,0.358,0.0968,6,-9.243,1,0.0323,0.524,0.87,0.38,0.212,130.051,4,113.0
Levitating,Dua Lipa,87,2020-03-27,85,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,4,204.0
What Makes You Beautiful,One Direction,85,2012-05-25,88,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,4,200.0
Steal My Girl,One Direction,85,2014-11-17,83,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,4,228.0
Drag Me Down,One Direction,85,2015-11-13,82,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,4,192.0
Little Things,One Direction,85,2012-09-11,1,0.707,0.222,7,-11.716,1,0.0329,0.788,0.0,0.205,0.556,110.095,4,220.0
Perfect,One Direction,85,2015-11-13,83,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,4,230.0
One Thing,One Direction,85,2012-05-25,77,0.713,0.718,2,-3.806,1,0.0278,0.00233,0.0,0.0838,0.656,126.999,4,198.0
You & I,One Direction,85,2013-11-25,79,0.574,0.329,1,-6.829,1,0.0274,0.22,0.0,0.0986,0.356,130.993,4,238.0
